id,situacao,nome_completo,cpf_cnpj,telefone,email,endereco_completo,cidade,patrimonio,estado_civil,nome_conjuge,cpf_conjuge,observacoes,data_cadastro,data_atualizacao
12,Inquilino,Barão de Itararé,000.111.222-33,(19) 3232-4040,ochefechegou@email.com,"R. do Castelo, s/n",Campinas - SP,12000000.0,Casado,Baronesa de Itararé,999.777.555-33,None,2026-01-17 20:30:08,2026-01-20 13:54:02
13,Inquilino,Marina Maré,666.555.444-33,(27) 94444-3333,ondasdomar@email.com,"R. da Orla, 101",Vitória - ES,200000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
14,Fiador,Nestor Negócios,888.999.000-11,(11) 4545-6767,fechandoaconta@email.com,"Av. Faria Lima, 5000",São Paulo - SP,25000000.0,Casado,Nádia Negócios,444.333.222-11,,2026-01-17 20:30:08,2026-01-17 20:30:08
15,Inquilino,Juca da Viola,121.212.121-21,(67) 92222-1111,cordasdesol@email.com,"R. do Seresteiro, 12",Bonito - MS,12000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
16,Fiador,Felícia da Sorte,343.434.343-43,(48) 3333-2222,trevodequatro@uol.com.br,"R. da Fortuna, 777",Florianópolis - SC,3200000.0,Casado,Sortudo Silva,777.888.777-88,,2026-01-17 20:30:08,2026-01-17 20:30:08
17,Inquilino,Beto da Bicicleta,565.656.565-65,(81) 91111-0000,pedalando@email.com,"Av. Beira Mar, 40",Recife - PE,5000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
18,Fiador,Gilda da Granja,787.878.787-87,(16) 3636-1212,ovofresco@email.com,"Rodovia do Café, km 5",Ribeirão Preto - SP,1800000.0,Casado,Galo da Granja,111.222.111-22,,2026-01-17 20:30:08,2026-01-17 20:30:08
19,Inquilino,Sônia do Sono,909.090.909-09,(92) 99887-7665,dorminhoca@email.com,"R. da Rede, 88",Manaus - AM,60000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
20,Fiador,Horácio do Horário,010.101.010-10,(61) 3333-4444,pontualidade@email.com,Setor Bancário Sul,Brasília - DF,4500000.0,Casado,Heloísa das Horas,333.444.333-44,,2026-01-17 20:30:08,2026-01-17 20:30:08
21,Inquilino,Duda da Dúvida,232.323.232-23,(71) 98765-4321,seraquevou@uol.com.br,"R. Incerta, 0",Salvador - BA,90000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
22,Fiador,Arnaldo do Arquivo,454.545.454-45,(11) 2211-3344,tudoanotado@email.com,"R. das Pastas, 123",Santo André - SP,2100000.0,Casado,Adriana do Arquivo,555.666.555-66,,2026-01-17 20:30:08,2026-01-17 20:30:08
23,Fiador,Caio no Poço,676.767.676-76,(84) 95544-3322,profundezas@email.com,"Travessa Baixa, 1",Natal - RN,15000.0,Solteiro,None,None,None,2026-01-17 20:30:08,2026-01-20 13:54:18
24,Fiador,Vera da Verdade,898.989.898-89,(65) 3030-4040,doaquemdoer@email.com,"Av. Sincera, 55",Cuiabá - MT,6700000.0,Divorciado,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
25,Inquilino,Tião Carreiro,73422140116,8898123-3322,tiao@gmail.com,,,,Divorciado,,,,2026-01-17 20:50:14,2026-01-17 20:50:14
26,Inquilino,Pedro Peido,422.422.423-23,1233212322,pedropeido@fourshare.com,"433, Delaware Av., New Castle","Biscaine, USA",10000000.0,Divorciado,,,,2026-01-17 21:40:46,2026-01-17 21:40:46
27,Inquilino,Mandrágora Agora,021321451-21,663321-2121,agora@email.com,"Beco do Batman, 221",Chicago,,Casado,Ministro dos Transportes,665355254-34,,2026-01-20 13:56:07,2026-01-20 13:56:07
